Comment,Author,LikeCount,PublishedAt,Tokens,Sentiment
언론사 방송국은 사실을 알리는게 아니고 본인들 희망사항을 보도한거지 뭐 ㅋㅋㅋ,@야만의사회,4841,2024-11-06T09:16:17Z,"['언론사', '방송국', '사실', '본인', '희망사항', '보도']",0.0
미국 언론  트럼프 해리스 초박빙  -&gt; 국내 언론  해리스 압승 예상 미국 언론  트럼프 승리 예상  -&gt; 국내언론  오차범위 내 해리스 다소 우세 ,@Kim_Doohan,4071,2024-11-06T09:30:00Z,"['미국', '언론', '트럼프', '해리스', '박빙', '국내', '언론', '해리스', '압승', '예상', '미국', '언론', '트럼프', '승리', '예상', '국내', '언론', '오차', '범위', '해리스', '우세']",0.0
이번에 느꼈다 한국언론은 진실을 말하려하지 않는다는 걸,@SuGga-s6f,3453,2024-11-06T10:11:52Z,"['이번', '한국', '언론', '진실']",0.2
"sbs 자기들도 역대 가장 치열한 접전, 초박빙, 끝나도 끝난게 아니다 이딴소리나 했으면서 ㅋㅋㅋ",@yimdongjoo4427,2619,2024-11-06T10:43:42Z,"['자기', '역대', '치열', '접전', '박빙', '딴소리']",0.2
국내 언론사 수준 이지,@시리시,2137,2024-11-06T09:13:57Z,"['국내', '언론사', '수준']",-0.3
언론에 선동이 이래서 무서운거다.. 보여 주고 싶은 거만 보여주는  언론이 대한민국이다..,@많은생각,1624,2024-11-06T11:22:14Z,"['언론', '선동', '언론', '대한민국']",0.0
박종훈의 지식한방에서 줄곧 얘기 했는데.. 늘  트럼프가 앞서고 있었다고..  초박빙은 무슨..,@Namkisoon,1232,2024-11-06T09:27:04Z,"['박종훈', '지식', '얘기', '트럼프', '박빙']",0.0
한국언론의 현주소,@rivermoon6164,1171,2024-11-06T09:33:57Z,"['한국', '언론', '주소']",0.3
국내 언론사 보도국 기자들 국장들 특히 정치부 국제부 다 사표내라 진짜 ㅋㅋㅋ 처음부터 끝까지 트럼프는 진적이 없다.,@November441,1163,2024-11-06T13:38:54Z,"['국내', '언론사', '보도국', '기자', '국장', '정치부', '국제부', '사표내라', '처음', '트럼프']",0.0
어느누가 그런 댓글을 달았는데...초박빙이 아니라 처음부터 해리스가 트럼프를 앞선적이 없었다...가 정답이었음!!!!!!!!!!!,@woop5019,994,2024-11-06T12:06:01Z,"['누구', '댓글', '박빙', '처음', '해리스', '트럼프', '정답']",0.0
우리 언론이나 그렇게 보도했지...,@sangkyukim9625,883,2024-11-06T09:15:06Z,"['우리', '언론', '보도']",-0.5
"요즘 언론은 그냥 죄다 희망사항 자극적인 내용만 보도, 본질을 잊은지 오래임...",@명희준-i1e,808,2024-11-06T09:34:03Z,"['요즘', '언론', '희망', '사항', '자극', '내용', '보도', '본질']",0.3
한국언론만 박빙이었어..,@7202-s5p,701,2024-11-06T09:14:05Z,"['한국', '언론', '박빙']",0.2
ㅋㅋㅋ트럼프가 처음부터 대세였는데 언론사들 헛소리오짐 ㅋㅋㅋㅋㅋ사실을 보도해야지 지들 희망사항을 보도하면 어떻하나? ㅋㅋㅋㅋ,@나동-x7r,681,2024-11-06T11:19:54Z,"['트럼프', '처음', '대세', '언론사', '소리', '사실', '보도', '희망사항', '보도']",0.3
여론조작에 흔들리지 않는 미국인과 선거인단 제도에 경의를 표한다. 트럼프 축하한다.,@UUIII-z4f,547,2024-11-06T09:13:10Z,"['여론', '조작', '미국인', '선거인단', '제도', '경의', '트럼프', '축하']",0.2
SBS 카말라 이긴다고 선거 내내 떠들지 않았나?. 참 방송하기 쉽네,@fairy-tale-teller,501,2024-11-06T09:32:32Z,"['카말라', '선거', '방송']",0.2
단 한순간도 해리스는 트럼프를 상대로 앞서기는 커녕 비빈 적도 없었다K-언론이 또 K-언론했다ㅋㅋㅋ,@JJ-zf3cy,488,2024-11-06T15:16:00Z,"['순간', '해리스', '트럼프', '상대', '언론', '언론']",-0.5
초박빙은 니들이꾸민거고 대부분의 여론조사에서 트럼프가 이겨왔어,@SG-wf8sn,434,2024-11-06T11:29:23Z,"['박빙', '대부분', '여론', '조사', '트럼프']",0.0
한국 언론 = 유튜브 사이버렉카한국 기자들은 사이버렉카 욕하지마라 너네가 사이버렉카의 시초니까,@유투브프리미엄,392,2024-11-06T14:02:47Z,"['한국', '언론', '유튜브', '사이버렉카', '한국', '기자', '사이버렉카', '사이버렉카', '시초']",0.2
국내외 언론사들 해리스이긴다해놓고 막상열어보니 트럼프,@jsy0630,363,2024-11-06T09:29:55Z,"['국내외', '언론사', '해리스', '트럼프']",0.1
한국언론들이 긍정회로돌리면서 속여온거지 미국내에서는 사실상 트럼프 승리 확실이였음,@kkelio394,338,2024-11-06T09:28:50Z,"['한국', '언론', '긍정', '미국', '사실', '트럼프', '승리', '확실']",-0.7
"앞장서서 국민 호도했던 한국 언론사들, 이제와서 뭔말?입이 열개라도 할 말이 ???",@짱아-q9f,329,2024-11-06T09:31:58Z,"['국민', '호도', '한국', '언론사']",0.5
ㅋㅋㅋㅋ 이게 국내 언론사 수준.. 그들은 언론이 아니다.. 그냥 소설가라고 생각한다.,@dyman19934,327,2024-11-06T09:38:12Z,"['이것', '국내', '언론사', '수준', '언론', '소설가', '생각']",-0.5
상하원도 다 가져 감 ㅋㅋㅋㅋ 트럼프 엄청난 승리한거임.,@JR-hs8iu,303,2024-11-06T09:41:37Z,"['상하원', '트럼프', '승리']",0.0
초박빙은 여론조작이였지 ㅋㅋ,@아지루-r9q,288,2024-11-06T09:26:03Z,"['박빙', '여론', '조작']",-0.7
진짜 다 좌파언론인거 인증박는 승리네ㅋㅋㅋㅋㅋㅋ,@paka-be8fv,269,2024-11-06T11:23:24Z,"['좌파', '언론인', '인증', '승리']",-0.7
한국 언론이 문제지 ㅋㅋㅋ미국 특파원이란게미국가서 하는게 CNN배끼기 ㅋㅋㅋㅋㅋㅋ뭐 알지도못하고 그냥 배껴서 가져오는데 뭘,@luv4701,203,2024-11-06T09:27:09Z,"['한국', '언론', '문제', '미국', '특파원', '미국', '배끼기', '배껴서']",0.2
"진짜 우리나라 언론 너무 한심하다.상업성만 추구하다 보니까. 메이저 언론사조차 그 수준이 학예회 수준으로 떨어졌다.진짜 취재를 못 하는 건지, 아니면 편향적으로 하는 건지 이제는 분간이 안 된다.",@user-dsssdsss,162,2024-11-06T13:09:16Z,"['우리', '나라', '언론', '상업', '추구', '메이저', '언론사', '수준', '학예회', '수준', '취재', '편향', '이제', '분간']",0.1
한국 언론만 보면 러우전쟁도 맨날 우크라가 압도적으로 이기는것처럼 나옴 ㅋㅋㅋㅋ,@vanwinklefamily4213,161,2024-11-06T11:25:45Z,"['한국', '언론', '러우', '전쟁', '우크라', '압도']",-0.5
역시 좌파 언론들은 ㅋㅋ,@비에르지니,146,2024-11-06T09:10:35Z,"['좌파', '언론']",-0.5
외국 언론사 기사 내용 복붙 원툴인 국내 언론사 수준으로 뭘 예측을 해 ㅋㅋㅋ,@SaSa-zi7yh,141,2024-11-06T09:28:03Z,"['외국', '언론사', '기사', '내용', '복붙', '국내', '언론사', '수준', '예측']",0.1
무능한  언론들...,@조진형-q8g,137,2024-11-06T09:27:36Z,"['무능', '언론']",-0.5
우리나라 언론들도 반성해라. 미국 좌파언론만 받아쓰니 미국 분위기를 알수가 있나. 진짜 심각하다,@mjna_4305,122,2024-11-06T09:25:16Z,"['우리나라', '언론', '반성', '미국', '좌파', '언론', '미국', '분위기']",0.0
미국인들 입장에선 자기나라를 먼저 생각하는 대통령을 원하지 바이든이 집권하고 제대로 나라가 돌아간적이 있었는가? 세계는 개판이 되었고 사실상 이미 예정된 수순,@은석이-c1j,119,2024-11-06T11:27:49Z,"['미국인', '입장', '자기', '나라', '생각', '대통령', '바이든', '집권', '나라', '세계', '개판', '예정', '수순']",-0.8
의도적인  거짓ㆍ편파방송한  나쁜  방송국놈들  ᆢ,@estherss5968,117,2024-11-06T09:24:06Z,"['의도', '거짓', '편파', '방송', '방송국']",-0.5
우리나라 언론들은 문제가 많아요  좌경화 되서리,@감바-p2z,112,2024-11-06T11:12:03Z,"['우리나라', '언론', '문제', '좌경화', '되서리']",-0.7
니들 언론사들만 몰랐던거야 무능한 것들,@bryanhunt5028,111,2024-11-06T09:16:08Z,"['언론사', '무능']",0.2
한국도 자국민 우선주의 해야한다 이미 외노자 평균임금이 300을 넘었고 베트남 반장이 베트남 사람 수백명 데리고 아파트 짓는다 틱톡가봐라 외노자 급여 명세서 천만원 넘는게 수두룩하다 네팔 베트남 필리핀 현지 월급이 우리돈 20만원도 안되는데 한국서는 한국인 최저임금을 적용한다 진짜 심각합니다 국민연금 받아 먹는 외노자만 2만명이고 실업급여 받는 외국인이 3만입니다 이게 나랍니까?,@minholee4154,108,2024-11-06T13:57:49Z,"['한국', '자국민', '주의', '외노자', '평균', '임금', '베트남', '반장', '베트남', '사람', '수백', '아파트', '틱톡', '외노자', '급여', '명세서', '천만', '네팔', '베트남', '필리핀', '현지', '월급', '우리', '국서', '한국인', '최저', '임금', '적용', '국민연금', '외노자', '실업', '급여', '외국인', '이것', '나라']",0.0
국내 언론사 좌경화가 심각하다,@냐릉-c3v,105,2024-11-06T10:53:44Z,"['국내', '언론사', '좌경화']",0.0
힐러리때 그렇게 속고도 또 속냐?ㅋㅋㅋㅋ,@siasu2920,99,2024-11-06T09:26:13Z,['힐러리'],0.2
"언론들 믿는 국민들도 웃긴거지; ㅋㅋ 믿을걸 믿어야지 ㅋㅋ대한민국 언론사를 믿어놓고 이제와서 언론사 탓을 하네;;ㅋ 생각이란걸 하고살자,",@정동혁-w5r,94,2024-11-06T09:20:47Z,"['언론', '국민', '대한민국', '언론사', '언론사', '생각']",-0.5
언론이 최대 문제임,@데헷콩2,89,2024-11-06T09:43:39Z,"['언론', '최대', '문제']",-0.5
